 | 159  | Gallade            |  0.25556% | 17318  |  0.460% | 12723  |  0.433% | 
 | 160  | Chandelure         |  0.25167% | 19412  |  0.516% | 13873  |  0.472% | 
 | 161  | Jolteon            |  0.24789% | 17877  |  0.475% | 13603  |  0.463% | 
 | 162  | Kilowattrel        |  0.24498% | 15117  |  0.402% | 11828  |  0.402% | 
 | 163  | Porygon2           |  0.24263% | 16954  |  0.451% | 13486  |  0.459% | 
 | 164  | Toedscruel         |  0.23874% | 10537  |  0.280% | 8745   |  0.297% | 
 | 165  | Chesnaught         |  0.23630% | 11028  |  0.293% | 8682   |  0.295% | 
 | 166  | Gardevoir          |  0.23406% | 19206  |  0.511% | 14019  |  0.477% | 
 | 167  | Mew                |  0.23184% | 14890  |  0.396% | 11652  |  0.396% | 
 | 168  | Moltres-Galar      |  0.23179% | 12855  |  0.342% | 9516   |  0.324% | 
 | 169  | Chansey            |  0.23172% | 12222  |  0.325% | 8992   |  0.306% | 
 | 170  | Lucario            |  0.22469% | 19363  |  0.515% | 14367  |  0.489% | 
 | 171  | Floatzel           |  0.22391% | 11724  |  0.312% | 8772   |  0.298% | 
 | 172  | Overqwil           |  0.21720% | 13326  |  0.354% | 10239  |  0.348% | 
 | 173  | Klefki             |  0.21310% | 10706  |  0.285% | 9238   |  0.314% | 
 | 174  | Regidrago          |  0.20849% | 9500   |  0.253% | 7132   |  0.243% | 
 | 175  | Fezandipiti        |  0.20757% | 10588  |  0.281% | 8281   |  0.282% | 
 | 176  | Typhlosion-Hisui   |  0.20650% | 12547  |  0.334% | 9246   |  0.314% | 
 | 177  | Basculegion-F      |  0.19954% | 7622   |  0.203% | 5797   |  0.197% | 
 | 178  | Cyclizar           |  0.19520% | 11609  |  0.309% | 8494   |  0.289% | 
 | 179  | Sableye            |  0.19449% | 12839  |  0.341% | 10159  |  0.345% | 
 | 180  | Hitmontop          |  0.19044% | 15196  |  0.404% | 11706  |  0.398% | 
 | 181  | Quagsire           |  0.18943% | 13040  |  0.347% | 10197  |  0.347% | 
 | 182  | Salazzle           |  0.18788% | 14760  |  0.392% | 11488  |  0.391% | 
 | 183  | Politoed           |  0.18054% | 17355  |  0.461% | 15167  |  0.516% | 
 | 184  | Sceptile           |  0.17723% | 18445  |  0.490% | 12904  |  0.439% | 
 | 185  | Rotom-Heat         |  0.17556% | 11563  |  0.307% | 9519   |  0.324% | 
 | 186  | Raikou             |  0.16814% | 9865   |  0.262% | 7487   |  0.255% | 
 | 187  | Snorlax            |  0.16543% | 16249  |  0.432% | 12658  |  0.430% | 
 | 188  | Staraptor          |  0.16448% | 11523  |  0.306% | 9052   |  0.308% | 
 | 189  | Brambleghast       |  0.15846% | 8170   |  0.217% | 6096   |  0.207% | 
 | 190  | Slowbro            |  0.15707% | 9828   |  0.261% | 7772   |  0.264% | 
 | 191  | Thundurus          |  0.15687% | 8674   |  0.231% | 7063   |  0.240% | 
 | 192  | Exeggutor-Alola    |  0.15621% | 7973   |  0.212% | 5847   |  0.199% | 
 | 193  | Entei              |  0.15462% | 8828   |  0.235% | 6682   |  0.227% | 
 | 194  | Yanmega            |  0.15423% | 10504  |  0.279% | 7963   |  0.271% | 
 | 195  | Meloetta           |  0.15343% | 7657   |  0.204% | 6133   |  0.209% | 
 | 196  | Flygon             |  0.15111% | 12898  |  0.343% | 9394   |  0.319% | 
 | 197  | Cetitan            |  0.15067% | 10673  |  0.284% | 8062   |  0.274% | 
 | 198  | Braviary-Hisui     |  0.15038% | 9422   |  0.250% | 7070   |  0.240% | 
 | 199  | Glastrier          |  0.14932% | 6433   |  0.171% | 4850   |  0.165% | 
 | 200  | Noivern            |  0.14728% | 10581  |  0.281% | 8194   |  0.279% | 
 | 201  | Decidueye-Hisui    |  0.14685% | 9923   |  0.264% | 7488   |  0.255% | 
 | 202  | Vikavolt           |  0.14447% | 9755   |  0.259% | 8194   |  0.279% | 
 | 203  | Goodra             |  0.14398% | 9719   |  0.258% | 7317   |  0.249% | 
 | 204  | Toxtricity         |  0.14230% | 9413   |  0.250% | 7224   |  0.246% | 
 | 205  | Emboar             |  0.14004% | 10832  |  0.288% | 8039   |  0.273% | 
 | 206  | Sylveon            |  0.13893% | 13112  |  0.349% | 9434   |  0.321% | 
 | 207  | Electrode-Hisui    |  0.13840% | 8850   |  0.235% | 7287   |  0.248% | 
 | 208  | Avalugg            |  0.13759% | 7227   |  0.192% | 5403   |  0.184% | 
 | 209  | Slowbro-Galar      |  0.13757% | 11177  |  0.297% | 8095   |  0.275% | 
 | 210  | Iron Leaves        |  0.13663% | 8091   |  0.215% | 5847   |  0.199% | 
 | 211  | Vaporeon           |  0.13400% | 9263   |  0.246% | 7095   |  0.241% | 
 | 212  | Rampardos          |  0.13229% | 9332   |  0.248% | 6603   |  0.225% | 
 | 213  | Krookodile         |  0.12836% | 11168  |  0.297% | 8702   |  0.296% | 
 | 214  | Tsareena           |  0.12798% | 9468   |  0.252% | 6927   |  0.236% | 
 | 215  | Munkidori          |  0.12374% | 6827   |  0.181% | 5475   |  0.186% | 
 | 216  | Azelf              |  0.12340% | 7696   |  0.205% | 6775   |  0.230% | 
 | 217  | Houndstone         |  0.11810% | 4818   |  0.128% | 3682   |  0.125% | 
 | 218  | Rhyperior          |  0.11679% | 7850   |  0.209% | 6066   |  0.206% | 
 | 219  | Malamar            |  0.11577% | 13378  |  0.356% | 9795   |  0.333% | 
 | 220  | Abomasnow          |  0.11490% | 6428   |  0.171% | 5521   |  0.188% | 
 | 221  | Wo-Chien           |  0.11319% | 6553   |  0.174% | 5219   |  0.177% | 
 | 222  | Lapras             |  0.11049% | 10480  |  0.279% | 8029   |  0.273% | 
 | 223  | Brute Bonnet       |  0.10995% | 5100   |  0.136% | 3951   |  0.134% | 
 | 224  | Arcanine           |  0.10815% | 9189   |  0.244% | 6877   |  0.234% | 
 | 225  | Arboliva           |  0.10806% | 8568   |  0.228% | 6148   |  0.209% | 
 | 226  | Mienshao           |  0.10709% | 8618   |  0.229% | 6618   |  0.225% | 
 | 227  | Cobalion           |  0.10591% | 6320   |  0.168% | 5050   |  0.172% | 
 | 228  | Bastiodon          |  0.10545% | 9325   |  0.248% | 7208   |  0.245% | 
 | 229  | Diancie            |  0.10501% | 6298   |  0.167% | 4842   |  0.165% | 
 | 230  | Ambipom            |  0.10494% | 10221  |  0.272% | 8383   |  0.285% | 
 | 231  | Lycanroc-Dusk      |  0.10411% | 7922   |  0.211% | 5933   |  0.202% | 
 | 232  | Drifblim           |  0.10361% | 6156   |  0.164% | 4636   |  0.158% | 
 | 233  | Masquerain         |  0.10231% | 6640   |  0.177% | 5847   |  0.199% | 
 | 234  | Terrakion          |  0.10170% | 4728   |  0.126% | 3577   |  0.122% | 
 | 235  | Scrafty            |  0.10121% | 9947   |  0.264% | 7633   |  0.260% | 
 | 236  | Magmortar          |  0.10082% | 5874   |  0.156% | 4432   |  0.151% | 
 | 237  | Bronzong           |  0.09849% | 5590   |  0.149% | 4592   |  0.156% | 
 | 238  | Grafaiai           |  0.09778% | 10333  |  0.275% | 8217   |  0.279% | 
 | 239  | Bisharp            |  0.08978% | 6169   |  0.164% | 4641   |  0.158% | 
 | 240  | Frosmoth           |  0.08557% | 6726   |  0.179% | 4814   |  0.164% | 
 | 241  | Shiftry            |  0.08452% | 5908   |  0.157% | 4777   |  0.162% | 
 | 242  | Duraludon          |  0.08410% | 7879   |  0.209% | 6169   |  0.210% | 
 | 243  | Sandslash-Alola    |  0.08390% | 6384   |  0.170% | 4835   |  0.164% | 
 | 244  | Revavroom          |  0.08386% | 5845   |  0.155% | 4465   |  0.152% | 
 | 245  | Inteleon           |  0.08281% | 9032   |  0.240% | 6943   |  0.236% | 
 | 246  | Registeel          |  0.08241% | 5449   |  0.145% | 4238   |  0.144% | 
 | 247  | Heracross          |  0.08108% | 8002   |  0.213% | 5845   |  0.199% | 
 | 248  | Bellibolt          |  0.07740% | 6571   |  0.175% | 4871   |  0.166% | 
 | 249  | Florges            |  0.07507% | 4876   |  0.130% | 3620   |  0.123% | 
 | 250  | Tauros-Paldea-Aqua |  0.07501% | 4460   |  0.119% | 3605   |  0.123% | 
 | 251  | Iron Thorns        |  0.07255% | 5351   |  0.142% | 3840   |  0.131% | 
 | 252  | Ludicolo           |  0.07146% | 6603   |  0.176% | 4946   |  0.168% | 
 | 253  | Pikachu            |  0.07017% | 8067   |  0.214% | 5799   |  0.197% | 
 | 254  | Vileplume          |  0.06933% | 5193   |  0.138% | 4073   |  0.138% | 
 | 255  | Vivillon           |  0.06820% | 4861   |  0.129% | 3838   |  0.130% | 
 | 256  | Eelektross         |  0.06673% | 7982   |  0.212% | 6155   |  0.209% | 
 | 257  | Toucannon          |  0.06634% | 5533   |  0.147% | 4237   |  0.144% | 
 | 258  | Poliwrath          |  0.06546% | 5263   |  0.140% | 3879   |  0.132% | 
 | 259  | Farigiraf          |  0.06541% | 4117   |  0.109% | 2959   |  0.101% | 
 | 260  | Eiscue             |  0.06459% | 3788   |  0.101% | 2804   |  0.095% | 
 | 261  | Lilligant          |  0.06275% | 3260   |  0.087% | 2316   |  0.079% | 
 | 262  | Avalugg-Hisui      |  0.06273% | 3263   |  0.087% | 2544   |  0.087% | 
 | 263  | Alcremie           |  0.06071% | 3814   |  0.101% | 2697   |  0.092% | 
 | 264  | Regice             |  0.05919% | 5138   |  0.137% | 3891   |  0.132% | 
 | 265  | Indeedee-F         |  0.05879% | 5234   |  0.139% | 4255   |  0.145% | 
 | 266  | Typhlosion         |  0.05753% | 5104   |  0.136% | 3691   |  0.126% | 
 | 267  | Morpeko            |  0.05743% | 3881   |  0.103% | 3065   |  0.104% | 
 | 268  | Tauros-Paldea-Blaze |  0.05715% | 3829   |  0.102% | 2965   |  0.101% | 
 | 269  | Glaceon            |  0.05676% | 4266   |  0.113% | 3070   |  0.104% | 
 | 270  | Hariyama           |  0.05651% | 3062   |  0.081% | 2418   |  0.082% | 
 | 271  | Uxie               |  0.05607% | 3994   |  0.106% | 3387   |  0.115% | 
 | 272  | Scovillain         |  0.05602% | 4119   |  0.109% | 2930   |  0.100% | 
 | 273  | Hitmonchan         |  0.05494% | 6357   |  0.169% | 4697   |  0.160% | 
 | 274  | Beartic            |  0.05489% | 4011   |  0.107% | 2881   |  0.098% | 
 | 275  | Golduck            |  0.05483% | 3639   |  0.097% | 2797   |  0.095% | 
 | 276  | Orthworm           |  0.05473% | 4754   |  0.126% | 3773   |  0.128% | 
